# Rattachement etablissement penitentiaire -> commune d'implantation (code INSEE, COG 2025).
# Construit le 2026-08-07 par jointure sur le nom entre le fichier mensuel DGAP
# « statistique_etablissements_personnes_ecrouees » (onglets Tab14-Tab23) et la Base de
# donnees locales de l'annuaire de l'administration (DILA, licence ouverte 2.0,
# https://lecomarquage.service-public.gouv.fr/donnees_locales_v4/all_latest.tar.bz2,
# types maison_arret / centre_penitentiaire / centre_detention / maison_centrale / csl / esm).
# La jointure floue a ete faite UNE fois puis verifiee a la main ; ce fichier est le
# resultat fige. Le connecteur (plateforme/normalize/prisons.py) le lit tel quel et ne
# refait jamais le rapprochement : un etablissement du xlsx absent d'ici bloque le run.
# provenance = annuaire (appariement exact sur le nom) ou manuel (resolu a la main,
# la colonne reference dit depuis quoi). Les arrondissements municipaux sont replies
# sur leur commune (CP de Marseille-Baumettes : 13209 -> 13055).
etablissement,code_commune,provenance,reference
CSL MONTARGIS,45208,annuaire,Centre de semi-liberté de Montargis
CSL SOUFFELWEYERSHEIM,67471,annuaire,Centre de semi-liberté de Souffelweyersheim
CSL VAL DE BRIEY,54099,annuaire,Centre de semi-liberté du Val de Briey
EPM LAVAUR,81140,annuaire,Etablissement pénitentiaire spécialisé pour mineurs de Lavaur
EPM MARSEILLE,13055,annuaire,Etablissement pénitentiaire spécialisé pour mineurs de Marseille
EPM ORVAULT,44114,annuaire,Etablissement pénitentiaire spécialisé pour mineurs d'Orvault
EPM PORCHEVILLE,78501,annuaire,Etablissement pénitentiaire spécialisé pour mineurs de Porcheville
EPM QUIEVRECHAIN,59484,annuaire,Etablissement pénitentiaire spécialisé pour mineurs de Quiévrechain
EPM RHONE,69282,annuaire,Etablissement pénitentiaire spécialisé pour mineurs du Rhône
MA AGEN,47001,annuaire,Maison d'arrêt d'Agen
MA AJACCIO,2A004,annuaire,Maison d'arrêt d'Ajaccio
MA ALBI,81004,annuaire,Maison d'arrêt d'Albi
MA AMIENS,80021,annuaire,Maison d'arrêt d'Amiens
MA ANGERS,49007,annuaire,Maison d'arrêt d'Angers
MA ANGOULEME,16015,annuaire,Maison d'arrêt d'Angoulême
MA ARRAS,62041,annuaire,Maison d'arrêt d'Arras
MA AURILLAC,15014,annuaire,Maison d'arrêt d'Aurillac
